id,age_cat,c_charge_degree,race,sex,priors_count,two_year_recid
1,Greater than 45,F,Other,Male,0,0
2,25 - 45,F,African-American,Male,0,1
3,Less than 25,F,African-American,Male,4,1
4,25 - 45,M,Other,Male,0,0
5,25 - 45,F,Caucasian,Male,14,1
6,25 - 45,F,Other,Male,3,0
7,25 - 45,M,Caucasian,Female,0,0
8,25 - 45,F,Caucasian,Male,0,0
9,Less than 25,M,African-American,Male,3,1
10,25 - 45,M,Caucasian,Female,0,0
11,25 - 45,F,African-American,Male,0,0
12,Greater than 45,F,Caucasian,Female,1,1
13,25 - 45,M,Hispanic,Male,0,0
14,25 - 45,F,African-American,Male,3,0
15,25 - 45,F,Caucasian,Male,6,1
16,Less than 25,F,African-American,Male,1,1
17,Less than 25,F,Caucasian,Female,0,0
18,Less than 25,F,Hispanic,Male,1,1
19,25 - 45,M,Caucasian,Male,1,0
20,25 - 45,M,Other,Male,0,0
21,25 - 45,F,African-American,Male,8,1
22,25 - 45,F,African-American,Male,5,1
23,25 - 45,F,Caucasian,Male,9,1
24,Greater than 45,F,Caucasian,Male,0,0
25,Greater than 45,F,Other,Male,7,1
26,25 - 45,M,Caucasian,Female,4,1
27,Less than 25,M,Caucasian,Male,1,1
28,25 - 45,F,African-American,Male,21,1
29,25 - 45,M,Caucasian,Male,0,0
30,Less than 25,F,African-American,Female,2,0
31,Greater than 45,M,African-American,Male,2,0
32,Greater than 45,F,African-American,Female,7,0
33,25 - 45,F,African-American,Male,0,1
34,25 - 45,M,Caucasian,Male,9,1
35,Greater than 45,M,Caucasian,Male,0,0
36,25 - 45,F,African-American,Male,0,0
37,25 - 45,F,Caucasian,Male,1,1
38,25 - 45,F,Other,Female,0,0
39,25 - 45,F,African-American,Male,15,0
40,Less than 25,F,African-American,Male,2,1
41,25 - 45,M,Hispanic,Male,0,0
42,Greater than 45,M,African-American,Male,4,0
43,Greater than 45,F,Caucasian,Male,8,0
44,25 - 45,F,African-American,Male,5,0
45,25 - 45,M,Caucasian,Male,4,1
46,Less than 25,F,African-American,Male,1,1
47,25 - 45,F,African-American,Male,4,1
48,Greater than 45,M,Hispanic,Male,0,0
49,25 - 45,M,Other,Male,0,0
50,Greater than 45,M,African-American,Female,0,0
51,Greater than 45,F,Hispanic,Male,6,1
52,Less than 25,F,Hispanic,Male,1,0
53,25 - 45,M,African-American,Male,1,0
54,25 - 45,F,African-American,Male,5,1
55,25 - 45,F,African-American,Male,2,0
56,Less than 25,M,African-American,Male,1,1
57,Less than 25,F,Caucasian,Male,0,0
58,25 - 45,F,African-American,Female,1,1
59,25 - 45,F,African-American,Male,0,0
60,25 - 45,M,African-American,Male,1,0
61,25 - 45,M,African-American,Male,8,1
62,25 - 45,F,African-American,Male,14,1
63,Less than 25,F,Other,Male,0,1
64,Less than 25,F,African-American,Male,2,1
65,25 - 45,M,African-American,Female,1,0
66,25 - 45,F,Caucasian,Male,7,1
67,Less than 25,F,Other,Male,1,1
68,Less than 25,F,Caucasian,Female,0,0
69,25 - 45,F,Caucasian,Male,2,1
70,Greater than 45,M,Caucasian,Female,0,0
71,25 - 45,M,Hispanic,Female,0,0
72,25 - 45,F,African-American,Male,1,0
73,25 - 45,F,Caucasian,Female,0,1
74,Less than 25,F,Caucasian,Male,8,1
75,25 - 45,F,Caucasian,Male,0,0
76,25 - 45,M,Caucasian,Male,0,0
77,25 - 45,F,Caucasian,Female,1,0
78,25 - 45,F,Caucasian,Male,1,0
79,Less than 25,F,African-American,Male,3,1
80,25 - 45,M,Caucasian,Male,5,1
81,25 - 45,F,Caucasian,Male,0,0
82,25 - 45,F,African-American,Male,5,1
83,25 - 45,F,African-American,Male,3,0
84,25 - 45,F,Caucasian,Male,1,1
85,25 - 45,F,African-American,Male,10,1
86,Less than 25,F,African-American,Male,0,1
87,25 - 45,F,African-American,Male,28,1
88,25 - 45,M,African-American,Male,1,0
89,25 - 45,F,Other,Female,1,0
90,25 - 45,F,Caucasian,Male,13,1
91,Greater than 45,M,Caucasian,Male,3,0
92,25 - 45,F,African-American,Male,19,1
93,25 - 45,F,Caucasian,Male,6,0
94,25 - 45,F,Caucasian,Female,2,0
95,25 - 45,M,Caucasian,Male,1,0
96,25 - 45,M,Other,Female,2,0
97,Less than 25,M,African-American,Female,0,0
98,25 - 45,M,Caucasian,Male,2,1
99,25 - 45,F,African-American,Male,3,1
100,25 - 45,M,Caucasian,Male,2,1
101,25 - 45,M,African-American,Male,1,0
102,Greater than 45,F,Caucasian,Male,1,1
103,Less than 25,F,African-American,Female,1,0
104,25 - 45,M,Caucasian,Female,0,0
105,25 - 45,M,African-American,Male,8,1
106,25 - 45,F,African-American,Female,7,1
107,25 - 45,F,African-American,Male,2,1
108,Less than 25,F,African-American,Female,0,0
109,25 - 45,M,Caucasian,Female,0,0
110,Greater than 45,F,African-American,Female,1,1
111,Greater than 45,F,Other,Male,13,1
112,Greater than 45,F,Hispanic,Male,1,0
113,25 - 45,F,Hispanic,Male,1,0
114,25 - 45,M,African-American,Female,2,1
115,25 - 45,M,Caucasian,Male,1,0
116,25 - 45,F,Caucasian,Female,3,1
117,25 - 45,F,African-American,Male,1,0
118,Greater than 45,M,Caucasian,Male,2,0
119,Less than 25,F,African-American,Male,1,0
120,Greater than 45,F,Caucasian,Male,6,1
121,25 - 45,F,Caucasian,Male,0,0
122,25 - 45,M,African-American,Male,1,1
123,Less than 25,F,Hispanic,Male,0,0
124,25 - 45,F,African-American,Female,5,0
125,Greater than 45,M,Hispanic,Male,2,0
126,Greater than 45,F,African-American,Male,8,0
127,25 - 45,F,Hispanic,Male,8,1
128,25 - 45,M,African-American,Male,6,1
129,Greater than 45,F,Hispanic,Male,2,0
130,Greater than 45,F,Hispanic,Male,0,0
131,Greater than 45,F,Caucasian,Male,0,0
132,Less than 25,F,Other,Male,0,0
133,Greater than 45,M,African-American,Male,23,1
134,Less than 25,M,African-American,Male,0,1
135,Greater than 45,F,Hispanic,Male,1,0
136,Greater than 45,F,African-American,Male,3,0
137,Greater than 45,M,Caucasian,Male,8,1
138,25 - 45,M,African-American,Male,2,1
139,25 - 45,F,Caucasian,Male,0,1
140,Greater than 45,F,Caucasian,Male,2,0
141,25 - 45,M,African-American,Male,2,0
142,Less than 25,M,African-American,Female,1,0
143,25 - 45,M,Other,Male,2,1
144,Greater than 45,F,Caucasian,Male,1,0
145,25 - 45,M,Caucasian,Female,0,0
146,25 - 45,M,Caucasian,Male,4,0
147,25 - 45,F,African-American,Male,2,1
148,25 - 45,M,African-American,Male,0,0
149,25 - 45,F,African-American,Female,0,0
150,25 - 45,F,Caucasian,Female,7,1
151,25 - 45,F,African-American,Male,2,0
152,25 - 45,F,African-American,Female,1,0
153,Greater than 45,F,Caucasian,Male,7,1
154,25 - 45,F,African-American,Male,15,0
155,25 - 45,M,African-American,Male,2,0
156,Greater than 45,M,Caucasian,Female,0,1
157,Greater than 45,M,Caucasian,Male,0,0
158,25 - 45,M,Other,Male,1,1
159,Greater than 45,F,African-American,Male,0,0
160,25 - 45,F,Caucasian,Male,4,1
161,25 - 45,F,African-American,Female,2,0
162,25 - 45,M,African-American,Female,5,0
163,25 - 45,F,African-American,Male,11,1
164,25 - 45,M,African-American,Male,0,0
165,Greater than 45,F,African-American,Male,11,0
